model,family,R2,MAE,RMSE,Spearman
LightGBM,ensemble,0.9897772488193942,1.310190378364584,1.804451659148356,0.9887605726690878
Gradient Boosting,ensemble,0.9877716993077549,1.5438378553740677,1.9735330850394721,0.9876201294231794
Neural Net (MLP),neural,0.9764873084462595,1.558307055969171,2.736607608613951,0.987054869844805
Random Forest,ensemble,0.9743422294992963,2.102146004098366,2.8587146997939725,0.9711548944744774
Extra Trees,ensemble,0.946845635359791,2.9933029713114503,4.114630324010372,0.9459804257948821
Lasso,linear,0.9452240344537908,2.8586075592918796,4.176922118186404,0.9842306394715077
SVR (RBF kernel),kernel,0.9415797890861867,2.396416815888718,4.313630259431572,0.9726426113629743
Linear Regression,linear,0.9332418295185921,2.859613642249106,4.611195867047989,0.9829206597024586
Ridge,linear,0.9302073666976073,2.9088686421275463,4.714831203702148,0.9822908935445476
Decision Tree,tree,0.9293048917806689,3.381065573770491,4.745216573336653,0.9385691650582554
k-NN (k=5),instance,0.7675515946525527,5.369622950819672,8.604480255019265,0.868084683613191
Mean baseline,baseline,-0.001635006005891615,14.970158294480374,17.861424981160592,
