uni_id,name,url,country,region,a01_logo,a02_primary_nav,a03_nav_item_count,a04_search_bar,a05_language_toggle,a06_breadcrumb,a07_qs_badge,a09_national_rank,a11_accreditation,a12_accred_count,a13_achievements,a14_stats_block,a15_stat_item_count,a16_notice_board,a17_notice_timestamp,a20_news_events,a21_calendar_link,a22_admission_notice,a23_upcoming_events,a24_event_count,a25_event_images,a26_event_captions,a27_event_datetime,a28_contests,a29_video_content,a30_image_gallery,a31_social_feed_embed,a32_vision_mission,a33_about_blurb,a34_department_links,a35_faculty_link,a36_research_highlight,a37_programs_listing,a38_scholarship,a39_library_link,a40_career_link,a41_alumni_link,a42_faq_link,a43_contact_link,a44_student_portal,a45_prospectus,a46_admissions_policy,a47_footer_contact,a48_footer_sitemap,a49_copyright_line,a50_social_links,a51_quick_links,a53_contrast_ratio,a53_contrast_ratio_was_missing,a54_banner_carousel,a57_logo_prominence,a58_live_chat,a59_feedback_form,a60_trust_seal,a61_testimonials,a63_mobile_score,a65_https,a66_broken_links,a67_gzip,a69_title_meta,a70_favicon,a71_sitemap_robots,a72_alt_text_pct,a72_alt_text_pct_was_missing,a73_accessible_design,a74_a11y_toggle,a75_bookmark,broken_links_log,load_time_z_region,notice_recency_days,notice_recency_days_was_missing,website_score,grade
3167,Eotvos Lorand University,https://www.elte.hu,Hungary,Eastern & Southern Europe,1,1,5,1,1,0,1,1,1,1,1,1,10,1,1,1,1,1,1,15,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,19.44,0,1,1,1,0,0,0,100,1,1,1,1,1,0,86.2,0,1,1,0,0.6931471805599453,-0.6315313132573119,5.0,0,94.94,A+
5145,University of New England,https://www.une.edu.au,Australia,South & Central Asia + Oceania,1,1,6,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,11,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,15.91,0,1,1,0,0,0,1,90,1,0,1,1,1,1,13.8,0,1,1,0,0.0,0.21790067512186465,1.0,0,94.36,A+
2084,University of Strasbourg,https://www.unistra.fr,France,Western & Northern Europe,1,1,6,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,17,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,18.88,0,0,1,0,0,0,0,75,1,0,1,1,1,0,26.5,0,1,1,0,0.0,-1.136693464644128,0.0,0,93.72,A+
3102,University of Porto,https://www.up.pt,Portugal,Eastern & Southern Europe,0,1,5,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,10,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,15.43,0,1,0,0,0,1,0,75,1,0,1,1,1,1,100.0,0,1,1,0,0.0,-0.47890737648813825,6.0,0,93.36,A+
4147,Nanyang Technological University,https://www.ntu.edu.sg,Singapore,Asia (East & Southeast),1,1,7,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,12.63,0,1,1,1,0,0,0,100,1,0,1,1,1,1,47.1,0,1,0,0,0.0,-0.6267857970491191,0.0,0,92.9,A+
5419,Gauhati University,https://www.gauhati.ac.in,India,South & Central Asia + Oceania,1,1,7,1,0,0,0,1,1,1,1,1,10,1,1,1,1,1,1,11,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,16.81,0,1,1,0,0,0,0,90,1,0,1,1,1,1,58.5,0,1,1,0,0.0,-1.2565700970516769,0.0,0,92.73,A+
2046,RWTH Aachen University,https://www.rwth-aachen.de,Germany,Western & Northern Europe,1,1,6,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,4,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,16.98,0,1,1,0,0,0,0,90,1,0,1,1,1,0,91.7,0,1,1,0,0.0,0.5372269600725149,0.0,0,92.46,A+
5139,Southern Cross University,https://www.scu.edu.au,Australia,South & Central Asia + Oceania,1,1,6,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,4,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,16.04,0,1,1,1,0,0,0,100,1,0,1,1,1,1,83.0,0,1,0,0,0.0,-0.5243044709993069,0.0,0,91.98,A+
2309,Maynooth University,https://www.maynoothuniversity.ie,Belgium/Ireland/Iceland,Western & Northern Europe,1,1,20,1,0,0,0,1,0,0,1,1,10,1,1,1,0,1,1,7,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.63,0,1,1,0,0,1,1,75,1,0,1,1,1,1,72.7,0,1,1,0,0.0,-1.0181150077867562,0.0,0,91.88,A+
4092,Sophia University,https://www.sophia.ac.jp,Japan,Asia (East & Southeast),1,1,5,1,1,0,0,0,0,0,1,1,7,1,1,1,0,1,1,12,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,13.46,0,1,1,0,0,0,1,100,1,1,0,1,1,1,41.6,0,1,0,0,0.6931471805599453,0.09881958726790997,0.0,0,91.84,A+
2038,"City, University of London",https://www.city.ac.uk,United Kingdom,Western & Northern Europe,1,1,2,1,0,1,0,1,1,2,1,1,8,0,1,1,1,1,1,18,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,16.67,0,1,1,0,0,1,0,100,1,0,1,1,1,1,87.9,0,1,1,0,0.0,-1.0115677310277602,0.0,0,91.61,A+
5150,University of Otago,https://www.otago.ac.nz,New Zealand,South & Central Asia + Oceania,1,1,7,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,3,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,15.42,0,1,1,0,0,0,0,100,1,0,1,1,1,1,82.6,0,1,1,0,0.0,0.2578216983490189,0.0,0,89.99,A+
3199,University of Tartu,https://www.ut.ee,Baltics,Eastern & Southern Europe,1,1,8,1,1,0,0,1,1,1,1,1,10,0,1,1,1,1,1,20,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,15.43,0,1,1,0,0,0,0,75,1,0,1,1,1,1,74.1,0,1,1,0,0.0,-1.2825118135145637,0.0,0,89.66,A+
2036,University of Surrey,https://www.surrey.ac.uk,United Kingdom,Western & Northern Europe,1,1,4,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,10.76,0,1,1,1,0,0,0,100,1,0,0,1,1,1,42.1,0,1,1,0,0.0,-0.46547635098113116,0.0,0,88.98,A+
6327,University of Limpopo,https://www.ul.ac.za,South Africa,Latin America & Africa,1,1,9,1,0,0,0,0,1,1,1,1,10,1,1,1,1,1,1,6,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,4.32,0,1,1,0,0,0,0,90,1,0,1,1,1,1,19.1,0,1,0,0,0.0,-0.14120190421117038,6.0,0,88.98,A+
